constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,pct_religion,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment,log_outside,Deprivation_PC1,Deprivation_PC2,share_under30,share_over64,HighQualifications_num,share_non_uk_born,HouseConstMedianPrice,pop_per_household,urbanicity_score
Aldershot,31350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432053138,387,347,438,300,337,266,264,449,2401,7.784057002639929,1.2469278763872353,0.7195037470202815,0.2849332528342382,0.163295767089286,28644,0.22178130299999999,365000,2.0329131470651935,0.44286229541988664
Aldridge-Brownhills,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536546803,313,294,277,250,205,381,394,271,2072,7.636752112435779,0.023071209976414892,0.8104705111441082,0.2678830559112239,0.230271020059752,20894,0.063352523,250000,2.003611876339149,0.3926347374828673
Altrincham and Sale West,10500.0,0.0,19432.239999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505380286,484,450,425,523,370,315,494,336,2913,7.97728198675515,1.952784338776811,1.1046039663781113,0.29642941780551346,0.192817363140848,38655,0.145894052,435000,2.012687043124172,0.42105176105832154
Amber Valley,22446.97,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.438662533,243,226,176,92,174,447,443,378,1936,7.5688956634069955,-0.7795920771489737,1.7471601076557532,0.2539182536098591,0.222340929366801,18245,0.035630601,200000,1.9670510219230959,0.2942467623256207
Arundel and South Downs,44500.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.5423973,452,500,498,435,466,493,74,168,2634,7.876638460975463,3.090531601888849,-1.1284210873727272,0.2334247804758649,0.295024119608783,30616,0.080499095,485000,2.0013016827207535,0.23041683318693967
Ashfield,0.0,0.0,2720.13,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420580714,125,137,93,44,94,186,416,475,1445,7.27655640271871,-2.1622073054632533,1.7398054345875007,0.2746367969295906,0.203675312620589,16126,0.059718512,182000,1.9895590570416513,0.40871008999066377
Ashford,0.0,0.0,586.07,6330.67,0.0,0.0,0.0,0.0,0.0,0.0,0.455048448,297,270,293,209,356,215,129,466,1938,7.569927655242652,0.4343897416699461,0.1954778087364407,0.2981537385413976,0.169946250414166,24933,0.15241516100000002,320000,2.044380430676237,0.3877535131324122
Ashton-under-Lyne,99929.5,0.0,0.0,0.0,836.0,5228.0,0.0,0.0,0.0,0.0,0.466723311,54,70,61,84,29,21,465,153,883,6.784457062637643,-3.342617058058327,0.27707610861559245,0.3051969940316849,0.162849721412567,18673,0.146074209,199950,1.947049071618037,0.3603322272689795
Aylesbury,15000.0,0.0,2221.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457337572,418,409,421,242,438,350,212,504,2576,7.854381210652365,1.8453681699975915,0.9107090072712276,0.2966222302287871,0.156143037290578,30140,0.182251108,350000,2.0138127673055597,0.40284164605032996
Banbury,15000.0,0.0,0.0,2583.19,0.0,0.0,0.0,0.0,0.0,0.0,0.506849046,358,378,395,228,351,385,229,243,2209,7.700747794511798,1.167629196765624,-0.04120997353183159,0.2752898473776167,0.19600536736526,28801,0.159870507,324975,2.0050657322264294,0.40132413317423754
Barking,5001.0,0.0,0.0,7692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437003049,60,57,149,182,201,75,3,108,775,6.654152520183219,-1.7519429920569634,-2.118575053658664,0.38367258907787316,0.0757096853362685,33598,0.43358558199999997,355000,2.077516981639653,0.46410161513775455
Barnsley South,2000.0,0.0,0.0,0.0,0.0,3411.3599999999997,0.0,0.0,0.0,0.0,0.497191627,41,60,21,15,16,46,530,505,1193,7.085064293952548,-3.3527435320071866,2.2049384733160697,0.2801905826410657,0.186357996040579,17204,0.072458924,138500,1.9533409076293167,0.2641812683791191
Barrow and Furness,63000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543526683,140,192,104,203,37,476,524,59,1595,7.3752557780097545,-1.5673073268277364,0.7043269956126439,0.2529458942562764,0.232751352129475,22520,0.038009871,160000,1.9078008187967248,0.3546740933795978
